City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
425,juba,22.5,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
426,george,12.75,light rain,-33.963,22.4617,Protea Hotel by Marriott George King George
427,liwale,21.8,overcast clouds,-9.7667,37.9333,Samoma Lodge
429,copiapo,27.55,clear sky,-27.3667,-70.3333,San Francisco de La Selva
431,haines junction,12.25,overcast clouds,60.7522,-137.5108,Parkside Inn
432,mount isa,17.87,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
433,grand gaube,24.65,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
435,kudahuvadhoo,28.58,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
436,daraitan,26.41,light rain,14.6028,121.4319,Daraitan Guesthouse
437,tres arroyos,11.0,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
438,tarma,17.56,overcast clouds,-11.4197,-75.6908,LP Los Portales Tarma
